Tom is ill.	汤姆生病了。
Frankly speaking, he's wrong.	坦率地说，他错了。
Put it on one bill, please.	請記在一張帳單上。
He is afraid of the dog.	他怕那只狗。
A bottle of red wine, please.	請來瓶紅酒。
There's no need to reply to that letter.	沒有必要回那封信。
An eye for an eye, a tooth for a tooth.	以眼還眼，以牙還牙。
Half of these apples are rotten.	這些蘋果的其中一半都爛了。
I don't remember anything about the incident.	我不记得事故的情况。
Tom sold Mary his car.	汤姆把他的汽车卖给了玛丽。
Above all, be patient.	尤其是要有耐心。
I'm very interested in jazz.	我對爵士樂很有興趣。
He doesn't know how to swim.	他不会游泳。
I wrote her a letter every day.	我一天又一天地给她写信。
You are a bit fat.	你有点胖。
Japanese history is my favorite subject.	日本歷史是我最喜歡的科目。
Can you be ready to leave tomorrow?	明天你能準備好離開嗎？
I have a daughter.	我有一个女儿。
She went there yesterday.	她昨天去那裡。
Did I tell you I got a new job?	我有告訴你我找到新工作了嗎？
She saw a tall man yesterday.	她昨天看见一个高大的男人。
Please open the door.	請把門打開。
Tom doesn't know what he should do.	湯姆不知所措。
Let me come in.	让我进去。
He went to the dentist.	他去看牙医了。
Tom told Mary that she should stop pretending to be intoxicated.	汤姆告诉玛丽她应该停止假装醉酒。
This is gibberish.	這是胡說。
The experiment was successful.	這實驗是成功的。
The price of the book was $5.	这本书的价格是5美元。
Who's that woman standing over there?	站在那儿的女人是谁？
Tom could be Canadian.	汤姆可能是加拿大人。
He plays golf two or three times a month.	他一个月玩两到三次高尔夫。
I know where he comes from.	我知道他来自哪里。
I'll be in my office from ten tomorrow.	我明天十点起会在办公室里。
The court declared him innocent on the charge of murder.	法庭对他的谋杀罪名作出了无罪判决。
A wooden building can easily catch fire.	木质房屋很容易着火。
Do you like to watch movies?	你喜歡看電影嗎？
There is no water.	沒有水。
Did you play tennis yesterday?	你昨天打网球了吗？
They would capture as many people as possible.	他們會盡可能地抓更多的人。
Give the cat some meat.	給猫喂點肉。
I have already read today's paper.	我已經看過了今天的報紙。
Everyone except Tom knew that he didn't need to do that.	除了汤姆以外任何人都知道他没必要这么做。
Tom is always tired.	汤姆经常累。
It may or may not be true.	這可能是真的，也可能不是。
What was that you just said?	你刚说了什么？
You're partially correct.	你部分正确。
You don't need to call me.	你不必打电话给我。
I am fully convinced of your innocence.	我完全相信你是清白的。
He will reach Hakodate tonight.	他今晚將抵達函館。
It's been ten years since we last met.	我們離上次見面有十年了。
The boy is playing with his toy soldiers.	男孩在玩玩具兵。
I am convinced that things will change for the better.	我深信事情会往更好的方向转变。
She wore a beautiful dress.	她穿著漂亮的洋裝。
I don't have the time or the money.	我沒有時間，也沒有錢。
Tom and Mary were tired of waiting.	湯姆和瑪麗等煩了。
This sentence is grammatically correct.	这个句子在语法上是正确的。
Be realistic.	现实点！
Do you have a favorite color?	你有喜欢的颜色吗？
I can understand what she is saying.	我能了解她在說什麼。
You should learn to control your emotions.	你應該學會控制自己的情緒。
Mary showed the letter to me.	瑪麗給我看了這封信。
Tom, have you already eaten lunch?	汤姆，你已经吃过午餐了吗？
He likes sleeping.	他喜欢睡觉。
They are having a really good time.	他們正玩得非常開心。。
Tom failed.	汤姆失败了。
Where did you get your camera repaired?	你在哪儿修的照相机？
He invited me to his house.	他邀请我去他家。
Would you like to go?	你想去嗎？
I've had enough of your lying.	我听够你的谎话了。
I don't mind waiting for a while.	我不介意等一會兒。
He used to be an imaginative boy.	他曾經是一個富有想像力的男孩。
We did it ourselves.	我们自己做的。
They live on the other side of the road.	他們住在路對面。
I've had a good sleep.	我睡得很好。
Do you think Tom is already retired?	你認為湯姆退休了嗎？
It's all my fault.	都是我的错。
Do you know which book sells well now?	你知道现在哪本书卖得好吗？
I've been looking for my tripod.	我一直在找我的三腳架。
We can't sit idly by.	我們不能光坐著。
The radio didn't mention the incident.	電台沒有提到這個事故。
Let's leave it at that.	就到此为止吧。
Get me some towels from the bathroom.	给我从浴室拿几条毛巾来。
I have hiccups.	我打嗝了。
We arrived here at six yesterday evening.	昨天晚上六点钟我们来到了这里。
What did she say?	她說了什麼?
Do you want to be rich?	你想致富嗎？
The Rhine runs between France and Germany.	萊茵河流經法國和德國國界。
I'm never at home on Sundays.	我周日从不在家。
Do you like this flower?	你喜欢这朵花吗？
I'm open to suggestions.	我愿意接受建议。
I used to eat like a pig.	我曾经像猪一样吃。
I'd like to pay by credit card.	我想用信用卡支付。
We watched a baseball game on television.	我們看了電視上的棒球比賽。
Don't let her go out after dark.	天黑後不要讓她出門。
The number of people suffering from heart disease has increased.	遭受心脏病困扰的人数增加了。
I wish I were younger.	但願我年輕一點。
I attended the meeting yesterday.	昨天我出席了會議。
You ought to thank him.	你应该感谢他。
It may freeze next week.	下周可能会结冰。
I'm counting on your help.	我指望你的帮助。
He looks kind of pale.	他有点苍白。
His memory amazes me.	他的记忆力使我惊讶。
She got married in her teens.	她十幾歲時就結婚了。
My aunt made me a new skirt.	我嬸嬸做了一條新裙子給我。
Why do you need it?	你為什麼需要它？
Tom enjoyed himself at the party.	汤姆在晚会玩的很开心。
It was not long before we met again by chance.	没多久，我们又碰巧遇到了。
Could you help me?	你能幫我嗎？
I've missed so much.	我错过了太多。
My dog goes everywhere with me.	我的狗總是跟著我。
Where is my book?	我的書在哪？
I have numerous books on my bookshelf.	我有大量的书在我的书架上。
Why are you wearing that scarf?	你为什么戴那条围巾？
I know how we can help.	我知道我們要怎麼幫忙。
My father likes traveling by air.	我父親喜歡搭飛機旅行。
His second son married and settled down.	他的第二個兒子結婚並定居下來了。
He taught himself French.	他自學法語。
You look stupid.	你看上去很傻。
Nobody likes being laughed at.	沒有人喜歡被人嘲笑。
I have to speak with you immediately.	我必须马上和你说话。
Tom and Mary have a lot in common.	汤姆和玛丽有很多共同点。
He has strange ideas.	他有着奇妙的想法。
I never touch beer.	我从不喝啤酒。
This desk is designed for children.	這張書桌是專門為兒童設計的。
Nobody will believe you.	没人会相信你。
Keep next Sunday free.	把下周日空出来。
I'm asking what your opinion is.	我在問你的選擇是甚麼。
She always keeps her promises.	她總是信守承諾。
She has buried her only son.	她埋葬了她的独生子。
The company spends a lot of money on advertising.	那家公司在广告上花了很多钱。
We're worried.	我们很担心。
Come whenever you want.	什么时候想来就过来吧。
Give me a cigarette.	给我支香烟吧。
Do we have milk in the fridge?	我们冰箱里有牛奶吗？
I bought a new sewing machine.	我買了一台新的縫紉機。
You owe me thirty bucks.	你欠我三十美元。
I tried to smile.	我試著微笑。
They made me go there alone.	他們讓我獨自去了那裡。
I'd like to talk to Tom alone.	我想和汤姆单独谈一谈。
I am glad that you have succeeded.	我很高兴你们成功了。
No problem at all!	没有任何问题!
It's none of your business.	跟你没半毛钱关系。
I went to school in Boston.	我曾经在波士顿上学。
We got permission to park here.	我們有在這裡停車的許可。
I didn't understand a single word Tom said.	我不明白湯姆說了什麼。
We can't see the other side of the moon.	我們看不到月亮的另一邊。
You don't like gambling, do you?	你不喜歡賭博，是嗎？
How high can you jump?	您能跳多高？
Tom and I are friends.	湯姆和我是朋友。
Everything's working fine.	一切正常。
This might not be a genuine diamond.	這可能不是真的鑽石。
How long is your spring vacation?	你春假放多久？
I want you to sleep on it.	我想要你睡在它上边。
This is kind of interesting.	這有點意思。
I'll bring one more towel.	我再拿块毛巾过来。
He taught us that Columbus discovered America.	他教導我們說, 哥倫布發現了美洲。
Is the room big enough for you?	這間房間對你來說夠大嗎?
Why isn't that good?	那為甚麼不好？
Always be true to yourself.	永遠要對自己誠實。
More money for education will spur economic growth.	更多投資在教育的錢將會刺激經濟成長。
She asked him for help.	她向他求助。
You have no right to do that.	你無權那麼做。
Hide in the closet.	你藏進櫃子裡去。
The police assembled a lot of evidence against him.	警察收集了很多对他不利的证据。
She attempted suicide.	她企圖自殺。
I think we've found what we were looking for.	我認為我們找到我們正在找的東西了。
There's no point in trying again.	再试也无济于事了。
I haven't smoked for ages.	我很久没有抽烟了。
But that's not the real problem.	可那不是真正的问题所在。
You'd better go home.	你最好回家。
What do you think of this sweater?	你觉得这件毛衣怎么样？
What do you think of these poems?	你觉得这些诗怎么样？
Do you have a fever?	你發燒了嗎？
Without your advice, I would've failed.	沒有你們的意見，我就失敗了。
This system has obvious defects.	這個系統有些明顯的缺陷。
What would the world be like without women?	没有女人的话，世界会是什么样？
If you hurry you can still make the train.	如果你抓紧，你还能赶上火车。
You can't blame Tom for getting angry.	你不能怪汤姆生气了。
The flowers cheered her up.	那些花兒安慰了她。
If you won a million yen, what would you do?	如果你中了一百万日元的奖，你会怎么做?
Where's the nearest train station?	最近的火车站在哪里？
Let's visit some temples tomorrow.	讓我們明天參觀一些寺廟。
If you would move over, there would be room for everyone.	如果您移過去一點, 每個人就可以有空間了。
They were afraid of the big dog.	他們怕這隻大狗。
Tom has low blood pressure.	汤姆有低血压。
The old man died from hunger.	這位老人死於飢餓。
I'm not going to say it again.	我不会再说这句话了。
Mary has beautiful brown eyes.	玛丽的褐色眼睛很美。
He often eats breakfast there.	他常常在那裡吃早餐。
Would you please close that window?	請您把那扇窗戶關起來好嗎？
It might sound far-fetched, but this is a real problem.	这可能听起来牵强，但却是个真实的问题。
The rumor turned out to be true.	這個傳聞後來被證明是真的了。
I'll be in trouble if the story gets out.	如果有人把事情抖出来，我就麻烦了。
I hear that you play the piano.	我聽說你彈鋼琴。
America likes to claim that it is a "classless" society.	美国是一个自称没有社会阶层的国家。
Tom is able to swim well.	湯姆游泳可以游得很好。
I left it on the table.	我把它留在桌上了。
She finds it a little distasteful.	她发现这有点令她不快。
This month was kind of difficult.	这个月我过得有点艰难。
I play volleyball a lot.	我常打排球。
We can't escape.	我們逃不出去。
I'd like a room in the back.	我想要一間後面的房間。
What a wonderful night!	多美妙的夜晚啊!
I hope he will wait for me.	我希望他會等我。
My throat feels dry.	我喉咙很干。
Money rules the world.	金钱万能。
Who took the money?	誰拿了錢？
I would like to have a cup of coffee.	我想喝一杯咖啡。
I'm exhausted.	我累死了。
We're waiting for the right time.	我們在等對的時機。
Flowers bloom.	鮮花盛開。
Are you a bachelor?	你是单身吗？
Thanks for the clarification.	感谢澄清。
Something is better than nothing.	聊胜于无。
Behave yourselves.	规矩点。
What do you base your theory on?	你的理論是以什麼為基礎?
Tom put some salt on his eggs.	湯姆在他的蛋上撒鹽。
He is not a teacher but a doctor.	他不是老師，而是醫生。
She gave him a sweater.	她给他一件毛衣。
If you want to, call me this afternoon.	如果你想的话，今天下午给我打电话。
You should keep your mouth shut.	你應該閉上你的嘴。
I'm too busy to go.	我太忙了不能去。
You're a good driver.	你开车很好。
Days are getting longer.	白天越來越長了。
You didn't need to bring your umbrella.	你不必帶你的傘。
Someone has taken my shoes by mistake.	有人拿错了我的鞋。
I just cleaned this.	我刚打扫过这个。
This is a Chinese restaurant.	这是家中国餐厅。
It is easy to add 5 to 10.	5加10很简单。
He is the baby of the family.	他是家里的宝贝。
Tom runs very fast.	湯姆跑得快。
The bucket was full of water.	这桶装满了水。
I want another slice of bread.	我要另一片面包。
Tom just wants my money.	湯姆就是想要我的錢。
This doesn't concern you.	跟你没半毛钱关系。
What's going on in the cave? I'm curious. "I have no idea."	“洞里发生了什么？我很好奇。”“我一点也不知道。”
Tom loves you.	汤姆爱你。
I will provide you all the necessary information.	我会把所有有用的信息给你的。
When can we eat, I wonder.	我不知道我們什麼時候可以吃。
I'll be back, said Tom.	“我会回来，”汤姆说。
I've got a lot more to learn.	我要学很多。
I don't feel much like talking.	我不太想說話。
A cooking course should be mandatory in schools.	烹饪课程应该作为学校的必修课。
I got her to clean my room.	我讓她把我的房間弄乾淨。
This medicine will do you good.	这药对你有好处。
We're just about finished here.	我們快要結束了。
I'm not a student.	我不是學生。
Bring your children along.	把你的孩子带来。
She played a tune on the piano.	她在鋼琴上彈了一首曲子。
Can I open the window?	可以开窗吗？
Can I bring Tom?	我可以带上汤姆吗？
She is very pretty, isn't she?	她很漂亮，不是嗎？
I looked for him in the supermarket.	我在超級市場裡找他。
My parents have just arrived at the station.	我的父母剛剛到達車站。
Tom kissed Mary on the cheek.	汤姆亲了玛丽脸颊。
Would three o'clock be all right?	三點鐘可以嗎？
You are absolutely right.	你完全正確。
My job is to wash dishes.	我的工作是洗盤子。
My father participated in a cooking contest and came in first.	我爸爸参加了料理竞赛并得了第一名。
He's my new friend.	他是我新交的朋友。
She is quiet.	她很安静。
Onions cook more quickly than potatoes.	洋蔥比馬鈴薯快熟。
Could I have a pillow and blanket?	給我一個枕頭和毛毯好嗎？
The airport is close by.	機場很近。
Tom forgot to buy toothpaste.	湯姆忘了買牙膏了。
You have to go home.	你们必须回家。
You must do it.	你必須去做。
I think Tom is getting ready.	我认为汤姆准备好了。
I don't want to swim.	我不想游泳。
Somebody's got to do something.	得有人做点什么。
There are 50 members in the club.	這個俱樂部有50位成員。
Does Tom live in Boston?	汤姆住在波士顿吗？
She put on her hat to go out.	她戴上了帽子准备出去。
When I arrived, it was raining.	當我到達時，天正下著雨。
You are wanted on the phone.	有你的電話。
She's really smart, isn't she?	她真的很聪明，不是吗？
We are supposed to know the rules.	我们应该了解相应的规则。
Give me your phone number.	给我你的电话号码。
Could you give me a discount?	能给我打个折么？
I relaxed at home last Sunday.	我上個星期天在家裡放輕鬆。
I think you should see a doctor.	我覺得你應該去看醫生。
I want to play the guitar.	我想彈吉他。
She slapped his face.	她摑了他的臉。
I don't know what you're referring to.	我不知道你指的是什么。
Father is watering flowers.	父亲在浇花。
I like wine.	我喜欢葡萄酒。
There was nothing on the radio about the accident.	電台沒有提到這個事故。
It's my duty to help you.	帮助你是我的责任。
I hid under the table.	我藏在桌子底下。
What do you think I've been doing?	你觉得我之前在做什么？
They must really hate me.	他们一定很恨我。
This factory produces CD players.	这个工厂生产CD播放器。
They made their way toward the town.	他們往小鎮方向去了。
Tom isn't a fool.	汤姆不是傻瓜。
I went for a walk after breakfast.	早餐後我去散步了。
Are you a doctor?	你是不是医生？
They must be waiting for you.	他們一定在等你。
We went to the park to play.	我们去了公园玩。
My uncle made me serve as interpreter.	我舅舅讓我擔任翻譯。
The song reminds me of my home.	这首歌让我想家了。
I'm here to assist you.	我來協助你。
Look at that tall building.	看那棟高樓。
I went to a park this morning.	今天早上我去了公园。
Where in Austria did you grow up?	你在奧地利的什麼地方長大？
I want to participate.	我想参加。
Tom acted without thinking.	汤姆不加思索地行动。
I hope so.	我希望如此。
I'm cold.	我冷。
My parents want to meet you.	我父母想见你。
Can you tell us a bit more about that?	能再告诉我一点吗？
I wish I were young.	但願我還年輕。
Just let Tom speak.	就讓湯姆說吧。
No one can keep me from going there.	没人能阻止我去那儿。
Tom isn't used to walking barefooted.	汤姆不习惯光着脚漫步。
Is anyone absent today?	今天有人缺席嗎？
He will play golf next Sunday.	他下週日將打高爾夫球。
I helped my brother move his desk.	我幫我弟弟搬了他的書桌。
Spring is the best season to visit Kyoto.	春天是访问京都最好的季节。
We don't speak French.	我們不講法語。
Is there anything that I should not eat?	有什么东西是我不该吃的吗?
I baked cookies.	我烤了曲奇。
Keep it.	留着吧。
They refused.	他們拒絕了。
Lend me your dictionary, please.	请把你的字典借给我。
Do you think Tom is too young?	你觉得汤姆是不是太嫩了？
Our teacher comes to school by car.	我們老師開車來學校。
We sometimes meet them.	我們有時會見到他們。
I need advice.	我需要些建议。
The date of the festival coincides with that of the exam.	节日和考试碰巧在同一天。
I don't have a computer.	我沒有電腦。
I got over the difficulty with my characteristic tenacity.	我凭韧性克服了困难。
She asked for my help.	她向我求助。
Would you mind coming with me?	你介意跟我一起来吗？
I will give you a call as soon as I get home.	我一回到家就打电话给你。
My house is close to a bus stop.	我的房子靠近一個公車站牌。
You have a good sense of humor.	你很有幽默感。
Let me know when you need me again.	再需要我就告诉我。
How old are your parents?	你父母多大了？
It was a long letter.	它是封长信。
I love to make people laugh.	我喜歡逗人笑。
It is not easy to catch a hare with your bare hands.	空手赤拳抓野兔並不容易。
All of his family work on a farm.	他全家都在农场工作。
Where should I put my laundry?	我應該把我要洗的衣服放在哪裡?
Stop getting yourself worked up over little things.	不要让自己因为一些小事就方寸大乱了。
Why would she lie?	她為甚麼要說謊？
I usually go to school by bicycle.	我通常騎自行車去上學。
Which is your book?	哪本是您的書？
No one encouraged her.	没有人鼓励她。
She was surprised that he showed up.	她很驚訝他出現了。
I couldn't understand his ideas.	我無法理解他的想法。
Be realistic!	现实点！
He turned pale with fright.	他嚇得臉色發白。
I know Tom is a little worried.	我知道汤姆有点担心。
You shouldn't have come alone.	你不該一個人來。
When it stops raining, let's go for a walk.	等雨停了，我们去散步吧。
My car's in the shop.	我的車在店裡修理中。
He may have missed the last train.	他可能錯過了最後一班火車。
He can play tennis very well.	他网球打得很好。
Tom bumped his head on the roof of the car.	汤姆把头撞到车顶了。
Not everyone seems to agree with Tom.	似乎不是每个人都同意汤姆。
The vote is unanimous.	选举一致通过了。
Can anyone drive?	有人会开车吗？
Is he going to swim tomorrow? "Yes, he is."	他明天會去游泳嗎? "是的, 他會。"
Would you please look after my dog tomorrow?	你明天可以幫我照顧一下我的狗嗎?
My mother speaks French better than my father speaks English, so they usually speak to each other in French.	我母亲的法语比我父亲的英语要好，所以他们通常用法语交流。
I've been reading this for a few hours.	我一直讀這個讀了幾個小時。
She always wears black.	她總是穿著黑色的衣服。
You don't have to raise your voice.	你不需要提高你的音量。
Is everybody ready?	所有人都准备好了吗？
There was a heavy rain last night.	昨晚下大雨。
Mt. Fuji was covered with snow.	富士山被雪所覆蓋。
Did you have any difficulty in finding my house?	你找我的房子有困難嗎？
He made friends with her in America.	他與她在美國成為朋友。
We're going to have to change our plans.	我們快要到必須改變我們計畫的時候了。
An earthquake can happen at any time.	地震随时都可能发生。
You owe me something.	你欠我點東西。
Can his story be true?	他的故事可能是真的吗?
I've caught a terrible cold.	我得了一種可怕的感冒。
School starts in September in Europe.	歐洲的學校在九月開學。
Why did we fail?	我們為甚麼失敗了？
The population of Japan is larger than that of New Zealand.	日本的人口比新西兰多。
Tom goes for a walk every morning.	Tom每天早上去散步。
I will write letters to you as often as I can.	我会尽可能多给你写信的。
He has a lot of books on history.	他有很多历史书籍。
I want a boat that will take me far away from here.	我想要一艘船带我远离这里。
I'm ill.	我生病了。
I would like to have some more water.	请再给我一些水。
We saw him walking across the street.	我們看見他正在過馬路。。
Even Tom doesn't do that anymore.	连湯姆都不再做了。
He flatly refused to let me in.	他斷然地拒絕讓我進去。
I'd like to get married to someone like you.	我想跟你这样的人结婚。
I take a bath every day.	我每天洗一次澡。
That's a lot of cash.	那是很多錢。
Tom is wearing the same clothes he wore yesterday.	汤姆穿着昨天穿的衣服。
I spent no more than three dollars.	我只花了三美元。
I like walking at night.	我喜歡在夜晚走路。
They wanted to know where Tom was.	他們想知道湯姆在哪。
Don't let children play in the road.	别让孩子们在马路中间嬉戏。
I didn't think Tom would be scared.	我没想到汤姆会害怕。
We had a great relationship.	我們的關係非常好。
She came to Tokyo when she was eighteen years old.	她18岁的时候来到东京。
It is like looking for a needle in a haystack.	这好比大海捞针。
Almost all the doors were closed.	幾乎所有門都關了。
We still don't know why.	我們仍然不知道為什麼。
This is my daughter.	這是我女兒。
That wasn't my intention.	这不是我的初衷。
An old man broke into our conversation.	一位老人打斷了我們的談話。
I won't be getting married this year.	我今年不結婚。
He has a test next week.	他下禮拜要考試。
I didn't expect to be here either.	我也没想到我会在这里。
He likes to listen to the radio.	他喜歡聽收音機。
He invented an excuse for being late.	他为他的迟到制造了一个借口。
I refuse to be treated like a child.	我拒绝被像一个孩子般对待。
I think we should change the topic.	我認為我們該換個題目。
There are many sights to see in Kyoto.	在京都，有很多的景点值得一看。
I went shopping last Saturday.	上週六我去購物。
A slip of the tongue is sometimes fatal to a politician.	有时候口误对政治家来说是致命的。
Thank you in advance for your help.	我先谢谢你的帮忙。
She always clears the table after a meal.	她经常在饭后收拾桌子。
She can't play the piano very well.	她無法把鋼琴彈得很好。
When have you ever done anything for me?	你什么时候给我做事？
Though he is rich, he is not happy.	虽然他很有钱，但他不幸福。
She gives me a nasty look every time she sees me.	她每次看見我都給露出厭惡的眼神。
I am tired of reading.	我讀書讀膩了。
He's three years older than she is.	他比她大三岁。
She taught me how to write a poem.	她教我如何写诗。
Tennis is my favorite sport.	网球是我最喜欢的运动。
All the students clapped their hands.	所有的學生都拍手。
You've got a great sense of humor.	你有很好的幽默感。
Tom seems to be much happier than me.	汤姆看来比我高兴。
Years passed.	多少年过去了。
I get a kick out of her cheerful personality.	她開朗的個性使我覺得快樂。
I couldn't sleep.	我無法入睡。
I'm just a plain old office worker.	我只是一個普通的老式上班族。
Why are you not doing it?	你为什么不做？
I'm not very particular about food.	我對食物不是很講究。
Not everything can be bought with money.	不是所有的東西都可以用金錢買到。
I'm bleeding.	我在流血。
Tom said he didn't like air conditioning.	湯姆說他不喜歡空調。
I don't want to stir up old memories.	我不愿意勾起久远的回忆。
From the look of the sky, it may rain in the afternoon.	從天色看起來，下午可能會下雨。
UFO stands for unidentified flying object.	UFO代表不明飛行物體。
Please don't take pictures here.	请别在这里拍照。
He isn't an American.	他不是美国人。
The suspect is a caucasian female.	嫌疑人是一位白人女性。
I'm much younger than you.	我比你年輕得多。
His advice didn't help much.	他的忠告没起到太大的作用。
Have you ever had any serious illness?	你曾经得过重病吗？
Would you like more coffee?	你想再喝點咖啡嗎？
My father got home late last night.	我父親昨晚很晚才回家。
I am positive that he has finished.	我確信他已經完成了。
The curtain fell.	谢幕了。
You should stay at home today.	你今天應該待在家裡。
I have no idea of what's going on in there.	我不清楚這裡發生了什麼事？
Tom is an extraordinary man.	汤姆是个不寻常的人。
You have nice skin.	你的皮膚真好。
This is the cutest puppy I've ever seen.	這是我見過最可愛的小狗。
I heard him go down the stairs.	我聽見了他下樓。
I lost my ticket. What should I do?	我丢了我的票。我該怎麼辦？
He made good use of the money.	他好好的使用了​​這筆錢。
She wept bitterly.	她痛哭。
I'd rather be with you.	我更愿意跟着你。
We often talk about the weather.	我们经常讨论天气。
She hugged him.	她抱了他。
Tom is asleep on the couch.	汤姆在长沙发上睡着了。
That feels good.	感觉良好。
I hid in the tall grass.	我躲在高草丛里了。
Carrots contain a lot of vitamin A.	胡蘿蔔中含有大量的維生素A。
Did he write a letter yesterday? "Yes, he did."	他昨天寫了一封信嗎? "是的, 他寫了。"
I got on the wrong train.	我上錯了火車。
You may choose whichever you want.	你可以選擇任何你想要的。
Tom graduated.	湯姆畢業了。
She was so curious that she opened the box.	她太过好奇，以至于打开了盒子。
Wet clothes stick to your skin.	濕衣服貼著你的皮膚。
What happened to you yesterday?	你昨天發生了什麼事？
She employed a private detective to keep a watch on her husband.	她僱了一個私人偵探看守她的丈夫。
The oranges in this bag are rotten.	這個袋子裡的柳橙都爛了。
The policeman didn't tow your car away.	警察沒有拖走你的車。
We'll talk later.	我们过一会再谈。
He left for Europe a week ago, that is, on the tenth of May.	他在一周前离开去往欧洲，就是说，是在五月十号。
Speaking English is a lot of fun.	說英語很有趣。
My father will kill me.	我爸会杀了我的。
This blue sweater is very pretty.	這件藍色毛衣很漂亮。
Sitting down all day is bad for you.	整天坐著對你不好。
Where's the phone book?	电话簿在哪里？
During the exam, Tom cheated off Mary.	在考试的时候，汤姆作弊抄了玛丽的答案。
Tom nodded encouragingly.	汤姆点头以示鼓励。
Tom told Mary not to waste her time trying to convince John to help.	汤姆对玛丽说，不要浪费时间去说服约翰来帮忙。
Don't look down on others.	不要看不起別人。
He likes to cook for his family.	他喜歡為家人做飯。
Our friendship will last a long time.	我們的友情會長久留存。
Have you ever eaten a banana pie?	你吃过香蕉派吗？
I work in a factory.	我在一家工廠工作。
Are you happy?	你快樂嗎？
Tom speaks French a little.	汤姆会说一点法语。
I played tennis with my brother.	我和我的兄弟打網球。
Where is the Japanese Embassy?	日本大使館在哪裡？
Tom is plastered.	汤姆醉了。
I'm sorry for the late response.	我很抱歉回复晚了。
Ostriches can't fly.	鸵鸟不会飞。
I was quite hungry.	我很饿。
These cameras are made in Japan.	這些照相機是在日本製造的。
His job is driving a sight-seeing bus.	他的工作是驾驶观光巴士。
The volcano erupted suddenly, killing many people.	火山突然喷发，造成了多人死亡。
You really are hopeless.	你真的是一點希望也沒有。
I wonder whether we have enough money to buy Tom the painting he wanted.	我想知道咱们是否有足够的钱给汤姆买他想要的这幅画
I am unable to finish my homework.	我無法完成我的作業。
Can you give me a ride to the office on Wednesday?	周三你可以载我到办公室吗？
It only costs $10.00!	只要十元！
I have a stomachache, doctor.	我胃痛，醫生。
It's fun to ride a motorcycle.	騎摩托車很有趣。
You have to study more.	你该学得更多。
Can you tell those twins apart?	你可以分出那對雙胞胎中誰是誰嗎?
Don't be so pessimistic.	不要感觉那么悲观。
I'm glad I could be of service.	能够出一份力太好了。
I don't know anything about him.	我不知道任何有關他的事。
I warmed myself in the bath.	我泡了个澡身体暖和起来了。
It's too loud.	它太大聲。
It took a long time to take in what she was saying.	花了很久才能听懂她在说什么。
The police didn't find any clues.	警方沒有發現任何線索。
Tom can't go out because he has a lot of homework.	汤姆因为有很多作业不能外出。
I tried not to wake you up.	我设法不让你醒。
Even children can read this book.	即使是小孩也能讀這本書。
He gave me food and money as well.	他给了我食物和钱。
I have no friends to help me.	我没朋友帮我。
One must be responsible for one's conduct.	人要为自己的行为负责。
I agree with you on this issue.	我同意你對這問題的看法。
That wasn't my intention.	那不是我故意的。
Don't bother me.	别来烦我。
Tom needs to be very careful.	湯姆需要很小心。
It is definite that he will go to America.	他肯定要去美国。
We need an ambulance.	我们需要一辆救护车。
Nobody's going to shed any tears if that old building gets torn down.	没有人会为这个旧建筑物的拆除而落泪。
Hi, my name's Tom. What's yours?	你好！我叫汤姆。你叫什么？
His wife gave birth to twin boys.	他的妻子生下了一對雙胞胎男孩。
We'll change trains at the next station.	我們會在下一站換火車。
But I don't want to.	但是，我不要。
My stomach hurts.	我胃痛。
I've already visited Australia.	我已经游览过澳大利亚了。
It's a cheap restaurant.	这是家很便宜的餐馆。
My shoulder hurts.	我肩膀痛。
We'll be late if we don't hurry.	再不快点就迟到了噢。
Let's go indoors.	我們進屋吧。
I grew up in a poor family.	我出身贫寒。
That can't be Mary. She's in the hospital now.	那不可能是玛丽，她现在在医院。
The hawk caught a mouse.	這隻鷹抓到一隻老鼠。
I'll keep doing it.	我要一直做下去。
I want to go wherever you're going.	我想去你要去的地方。
I see a cat chasing a dog.	我看见一只猫追着一只狗跑。
When did your baby start talking?	你的寶寶，什麼時候開始說話的？
Does Tom speak French better than Mary?	湯姆說法語比瑪麗好嗎？
Tom is your age.	汤姆与你年龄相仿。
What's the meaning of this word?	這個字是什麼意思?
Who is that person?	那人谁啊？
What do you think about this?	你怎么看待这件事？
The weather was not only cold, but also wet.	天气又冷又湿。
He seems to be rich.	他看起來很有錢。
All the desk drawers were empty.	所有的办公桌抽屉都是空的。
Tom is quite good at cooking.	Tom對烹飪很在行。
He blamed me for the accident.	他為這個意外指責我。
It's easy to make friends, but hard to get rid of them.	交朋友很容易, 但擺脫他們很難。
Come what may, I won't change my opinion.	無論如何，我不會改變我的想法。
Tom's grinning.	汤姆露齿而笑。
We've decided to remain silent.	我們決定要保持沉默。
We agreed to start early the next morning.	我们同意了第二天一早开始。
Before he went fishing, he dug up some worms for bait.	出去釣魚前，他挖出一些蟲子當餌。
We've got what we need.	我們得到了我們想要的。
He sent the letter back unopened.	他把那封信原封不動寄回去了。
I'm full.	我吃飽了。
His father dedicated his life to science.	他的父親把一生奉獻給了科學。
Mathematics is an easy subject for me.	數學對我來說是一個容易的科目。
Why couldn't you sleep last night?	为什么你昨晚睡不着？
That was the first time I'd seen Tom so angry.	那是我第一次见到汤姆如此生气。
The board unanimously decided to appoint her as CEO.	董事会一致决定任命她为执行总裁。
You should take up golf.	你应该开始从事高尔夫。
